Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
treefrog-thread	34,259	33.7%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
luminus-raw	33,383	32.9%	Mcr	Clj	Svt	Res	Lin	My	Lin	Raw	Rea	0
play-java-ebean	32,807	32.3%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
ninja-standalone	32,450	32.0%	Ful	Jav	Jty	Jty	Lin	My	Lin	Ful	Rea	0
spark	32,178	31.7%	Mcr	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
play-slick	31,774	31.3%	Ful	Sca	Nty	Non	Lin	My	Lin	Raw	Rea	0
ringojs	31,561	31.1%	Plt	JS	Rin	Jty	Lin	My	Lin	Raw	Rea	0
compojure	29,584	29.1%	Mcr	Clj	Svt	Res	Lin	My	Lin	Mcr	Rea	0
hhvm	28,095	27.7%	Plt	PHP	hhv	HPH	Lin	My	Lin	Raw	Rea	0
elli	26,856	26.4%	Plt	Erl	eli	Non	Lin	My	Lin	Raw	Rea	0
luminus	26,352	25.9%	Mcr	Clj	Svt	Res	Lin	My	Lin	Ful	Rea	0
play-activate-mysql	25,925	25.5%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
tornado-pypy	25,774	25.4%	Plt	Py	Tor	Non	Lin	Mo	Lin	Raw	Rea	38
nodejs-mongodb-raw	25,729	25.3%	Plt	JS	njs	Non	Lin	Mo	Lin	Raw	Rea	0
cowboy	24,633	24.3%	Plt	Erl	Cow	Non	Lin	My	Lin	Raw	Rea	0
urweb-mysql	24,612	24.2%	Ful	Ur	Ur/	Non	Lin	My	Lin	Mcr	Rea	0
yesod	24,415	24.0%	Mcr	Hkl	Wai	Wrp	Lin	My	Lin	Raw	Rea	0
